Type,Source,Date,Client_Name,Email,Phone,Company,Service_Interest,Amount,VAT,Total_Amount,Invoice_Number,Priority,Message
FORM,contact_form_1.html,2024-01-15,Νίκος Παπαδόπουλος,nikos.papadopoulos@example.gr,210-1234567,Digital Marketing Pro,Ανάπτυξη Website,,,,,high,Χρειαζόμαστε ένα νέο e-commerce website για την εταιρεία μας. Έχουμε περίπου 200 προϊόντα και θέλουμε integration με το ERP μας
FORM,contact_form_2.html,2024-01-16,Μαρία Κώστα,maria.kosta@lawfirm.gr,210-9876543,Κώστα & Συνεργάτες Δικηγορικό Γραφείο,Διαχείριση Βάσης Δεδομένων,,,,,medium,Χρειαζόμαστε ασφάλεια υψηλού επιπέδου λόγω ευαίσθητων δεδομένων
FORM,contact_form_3.html,2024-01-17,Γιάννης Αντωνίου,giannis@restaurant-olympia.gr,2310-555123,Ολυμπία Restaurant Chain,Σύστημα POS,,,,,high,"χρειαζόμαστε ενοποιημένο σύστημα POS με κεντρική διαχείριση, online παραγγελίες και loyalty program"
FORM,contact_form_4.html,2024-01-18,Άννα Γεωργίου,anna.georgiou@medclinic.gr,210-7654321,Κέντρο Υγείας Αθήνας,Σύστημα Διαχείρισης Ιατρείου,,,,,medium,"Χρειαζόμαστε σύστημα διαχείρισης ασθενών, ραντεβού, ιατρικών αρχείων και τιμολόγησης. Πρέπει να είναι GDPR compliant"
FORM,contact_form_5.html,2024-01-19,Κώστας Δημητρίου,kostas@buildingco.gr,2310-123456,Δημητρίου Κατασκευές ΑΕ,Σύστημα Διαχείρισης Έργων,,,,,low,"Χρειαζόμαστε σύστημα για παρακολούθηση προόδου, κόστους, υλικών και εργατικού δυναμικού"
INVOICE,invoice_TF-2024-001.html,2024-01-21,Office Solutions Ltd,,,TechFlow Solutions,Not specified,850.00,204.00,1054.00,TF-2024-001,low,No service interest or message provided.
INVOICE,invoice_TF-2024-002.html,2024-01-22,Microsoft Hellas,,,TechFlow Solutions,Not specified,2400.00,576.00,2976.00,TF-2024-002,low,"The customer is Microsoft Hellas and the company is TechFlow Solutions, but no specific service or priority has been provided."
INVOICE,invoice_TF-2024-003.html,2024-01-23,Computer World SA,,,TechFlow Solutions,Not specified,4200.00,1008.00,5208.00,TF-2024-003,medium,Customer Computer World SA is associated with TechFlow Solutions but has not specified a service or priority.
INVOICE,invoice_TF-2024-004.html,2024-01-24,Digital Marketing Agency,,,TechFlow Solutions,Marketing Services,1600.00,384.00,1984.00,TF-2024-004,high,The customer is a Digital Marketing Agency seeking services from TechFlow Solutions.
INVOICE,invoice_TF-2024-005.html,2024-01-25,Βιβλιοπωλείο Καλλιτεχνία,,,TechFlow Solutions,unknown,2030.00,487.20,2517.20,TF-2024-005,low,"The customer is Βιβλιοπωλείο Καλλιτεχνία and the company is TechFlow Solutions, but no specific service or priority has been provided."
INVOICE,invoice_TF-2024-006.html,2024-01-26,Ιατρείο Παπαδόπουλος,,,TechFlow Solutions,unknown,6220.00,1492.80,7712.80,TF-2024-006,medium,"The customer, Ιατρείο Παπαδόπουλος, is associated with TechFlow Solutions but has not specified a service or priority."
INVOICE,invoice_TF-2024-007.html,2024-01-27,"Καφέ ""Ελληνικός""",,,TechFlow Solutions,unknown,1720.00,412.80,2132.80,TF-2024-007,medium,"The customer 'Καφέ ""Ελληνικός""' is reaching out to 'TechFlow Solutions', but specific service interest and message details are missing."
INVOICE,invoice_TF-2024-008.html,2024-01-28,Δικηγορικό Γραφείο Κ. Μάντζιου,,,TechFlow Solutions,Legal Services,3800.00,912.00,4712.00,TF-2024-008,high,The customer is a law office seeking services from TechFlow Solutions.
INVOICE,invoice_TF-2024-009.html,2024-01-29,"Fitness Club ""Ηρακλής""",,,TechFlow Solutions,unknown,1590.00,381.60,1971.60,TF-2024-009,low,No specific service or priority provided.
INVOICE,invoice_TF-2024-010.html,2024-01-30,"Φωτογραφικό Στούντιο ""Φως""",,,TechFlow Solutions,Photography Services,3500.00,840.00,4340.00,TF-2024-010,high,The customer is a photography studio seeking services from TechFlow Solutions.
EMAIL,email_01.eml,2024-01-20,Σπύρος Μιχαήλ,spyros.michail@techcorp.gr,210-3344556,TechCorp AE,CRM System,,,,,high,Χρειαζόμαστε Διαχείριση πελατών (300+ ενεργοί πελάτες)
EMAIL,email_02.eml,2024-01-20,Ελένη Παπαγεωργίου,eleni@fashionstore.gr,6944-123456,Fashion Store Athens,E-commerce Platform,,,,,high,Θέλουμε να δημιουργήσουμε ένα e-commerce website γιατί 1. Έχουμε φυσικό κατάστημα 10 χρόνια
EMAIL,email_03.eml,2024-01-21,Λογιστήριο TechFlow,accounting@techflow-solutions.gr,,Office Solutions Ltd,Invoice Processing,,,,,high,"Αποστολή τιμολογίου #TF-2024-001 για είδη γραφείου με συνολικό ποσό €1,054.00."
EMAIL,email_04.eml,2024-01-21,Παναγιώτης Κωνσταντίνου,panagiotis@autoservice.gr,2310-987654,AutoService Κωνσταντίνου,Garage Management System,,,,,high,Θέλουμε σύστημα που 1. Καταγράφει κάθε εργασία
EMAIL,email_05.eml,2024-01-22,Λογιστήριο TechFlow,accounting@techflow-solutions.gr,,Microsoft Hellas,Software Licenses,,,,,high,"Invoice TF-2024-002 for software licenses sent by Maria Oikonomou from TechFlow. Total amount due is €2,976.00, payment due in 30 days."
